,batter_name,team,birthday,height,weight,age
435,차우찬,LG,1987-05-31,185cm,80kg,33
436,이동걸,한화,1983-08-12,185cm,87kg,36
437,백정현,삼성,1987-07-13,184cm,80kg,32
438,이승우,삼성,1988-12-08,183cm,83kg,31
439,김건필,삼성,1988-06-19,187cm,93kg,32
440,최원제,삼성,1989-02-04,183cm,95kg,31
441,노진용,삼성,1990-02-15,182cm,85kg,30
442,이우선,삼성,1983-04-19,179cm,83kg,37
443,양지훈,삼성,1985-04-15,183cm,82kg,35
444,김현우,삼성,1988-01-21,185cm,111kg,32
445,심창민,삼성,1993-02-01,185cm,86kg,27
446,이현동,삼성,1993-03-27,183cm,83kg,27
447,밴덴헐크,삼성,1985-05-22,196cm,98kg,35
448,로드리게스,삼성,1987-12-13,193cm,91kg,32
449,진갑용*,삼성,1974-05-08,182cm,90kg,46
450,채상병,삼성,1979-12-18,184cm,95kg,40
451,이정식,삼성,1981-11-02,183cm,90kg,38
452,김동욱,KT,1988-06-24,183cm,89kg,31
453,이지영,Hero,1986-02-27,178cm,83kg,34
454,정우양,삼성,1988-07-06,182cm,82kg,31
455,이승엽,삼성,1976-08-18,183cm,87kg,43
456,신명철,KT,1978-08-06,181cm,77kg,41
457,조동찬,삼성,1983-07-27,180cm,80kg,36
458,강명구,삼성,1980-10-25,181cm,70kg,39
459,김태완,삼성,1981-09-19,174cm,81kg,38
460,박석민,NC,1985-06-22,178cm,88kg,34
461,모상기,KT,1987-01-03,193cm,100kg,33
462,채태인,SK,1982-10-11,187cm,94kg,37
463,김상수,삼성,1990-03-23,175cm,68kg,30
464,백상원,삼성,1988-01-02,177cm,76kg,32
465,김정혁,삼성,1985-08-03,182cm,82kg,34
466,정병곤,두산,1988-03-23,176cm,72kg,32
467,성의준,삼성,1989-12-17,175cm,75kg,30
468,강봉규,삼성,1978-01-12,183cm,88kg,42
469,박한이,삼성,1979-01-28,182cm,91kg,41
470,최형우,KIA,1983-12-16,179cm,106kg,36
471,허승민,삼성,1986-02-28,177cm,75kg,34
472,김경모,삼성,1989-06-15,177cm,72kg,31
473,우동균,삼성,1989-12-03,175cm,68kg,30
474,배영섭,SK,1986-06-27,178cm,78kg,33
475,정형식,삼성,1991-01-28,178cm,73kg,29
476,이상훈,삼성,1987-05-04,171cm,75kg,33
477,김헌곤,삼성,1988-11-09,174cm,81kg,31
478,박찬도,삼성,1989-02-22,185cm,75kg,31
479,손형준,삼성,1989-07-01,186cm,88kg,30
480,두영진,삼성,1985-09-30,187cm,84kg,34
481,홍효의,삼성,1989-03-02,190cm,87kg,31
482,이흥련,두산,1989-05-16,183cm,85kg,31
483,김성표,삼성,1994-03-17,179cm,65kg,26
484,윤대경,한화,1994-04-09,179cm,75kg,26
485,정현,SK,1994-06-01,181cm,80kg,26
486,김지훈,KIA,1993-03-19,177cm,80kg,27
487,이준형,LG,1993-06-03,188cm,76kg,27
488,박상원,삼성,1994-02-07,187cm,76kg,26
489,이재익,삼성,1994-03-18,180cm,76kg,26
490,박재근,삼성,1994-05-09,190cm,95kg,26
491,김종석,삼성,1994-09-08,185cm,87kg,25
492,이영수,삼성,1981-05-09,184cm,90kg,39
493,김현중,삼성,1986-08-16,180cm,90kg,33
494,김동영,삼성,1990-05-12,180cm,78kg,30
495,김영훈,삼성,1989-03-24,178cm,75kg,31
496,김준호,삼성,1989-11-25,176cm,85kg,30
497,한겸,삼성,1993-06-02,173cm,72kg,27
498,강원형,삼성,1990-02-22,178cm,95kg,30
499,라준성,삼성,1990-08-25,176cm,68kg,29
500,김영환,KT,1993-01-31,178cm,74kg,27
501,조원태,삼성,1992-03-31,175cm,80kg,28
502,정두산,삼성,1989-03-06,183cm,90kg,31
503,이동현,삼성,1989-08-05,177cm,78kg,30
504,박해민,삼성,1990-02-24,180cm,75kg,30
505,이동훈,삼성,1992-06-27,186cm,101kg,27
506,신용승,KT,1993-04-04,180cm,76kg,27
507,정승인,삼성,1990-07-11,183cm,85kg,29
508,곽병선,삼성,1994-08-04,178cm,85kg,25
509,박민규,삼성,1990-09-12,180cm,76kg,29
510,정인욱,삼성,1990-12-18,186cm,85kg,29
511,임진우,두산,1987-05-13,186cm,95kg,33
512,김재우,삼성,1987-07-04,186cm,83kg,32
513,임현준,삼성,1988-12-21,184cm,85kg,31
514,우병걸,삼성,1990-03-31,183cm,81kg,30
515,황수범,삼성,1986-11-17,183cm,81kg,33
516,구자욱,삼성,1993-02-12,189cm,75kg,27
517,이영욱,KIA,1985-10-11,180cm,85kg,34
518,문선엽,삼성,1991-07-31,175cm,80kg,28
519,최영필,KIA,1974-05-13,184cm,92kg,46
520,임경완,한화,1975-12-28,185cm,94kg,44
521,이승호,SK,1976-08-23,189cm,90kg,43
522,엄정욱,SK,1981-06-18,191cm,94kg,39
523,신승현,LG,1983-08-13,193cm,100kg,36
524,채병용,SK,1982-04-25,185cm,100kg,38
525,이재영,SK,1979-06-13,187cm,90kg,41
526,제춘모,SK,1982-04-05,191cm,91kg,38
527,윤길현,롯데,1983-09-23,183cm,85kg,36
528,이영욱,삼성,1980-08-13,190cm,93kg,39
529,송은범,LG,1984-03-17,182cm,88kg,36
530,전병두,SK,1984-10-14,181cm,77kg,35
531,민경수,SK,1981-05-19,185cm,90kg,39
532,윤희상,SK,1985-05-17,193cm,88kg,35
533,박정배,SK,1982-04-01,180cm,82kg,38
534,전유수,KT,1986-11-29,185cm,95kg,33
535,박희수,SK,1983-07-13,184cm,84kg,36
536,이한진,SK,1983-12-20,190cm,92kg,36
537,김광현,SK,1988-07-22,187cm,83kg,31
538,김준,KIA,1985-10-08,180cm,80kg,34
539,백청훈,LG,1987-11-19,185cm,95kg,32
540,여건욱,LG,1986-09-16,185cm,92kg,33
542,신정익,SK,1987-02-04,192cm,95kg,33
543,김주원,KT,1991-08-30,188cm,90kg,28
544,임치영,SK,1988-10-29,180cm,80kg,31
545,문승원,SK,1989-11-28,183cm,85kg,30
546,허건엽,SK,1993-07-24,178cm,84kg,26
547,세든,SK,1983-08-03,193cm,93kg,36
548,레이예스,SK,1984-11-20,189cm,97kg,35
549,박경완,SK,1972-07-11,178cm,88kg,47
550,조인성,한화,1975-05-25,183cm,99kg,45
551,정상호,두산,1982-12-24,186cm,98kg,37
552,허웅,SK,1983-09-17,177cm,80kg,36
553,이재원,SK,1988-02-24,185cm,98kg,32
554,김정훈,SK,1987-05-23,182cm,85kg,33
555,박진만,SK,1976-11-30,178cm,82kg,43
556,나주환,KIA,1984-06-14,182cm,83kg,36
557,박정권,SK,1981-07-21,187cm,93kg,38
558,정근우,LG,1982-10-02,172cm,75kg,37
559,최정,SK,1987-02-28,180cm,84kg,33
560,홍명찬,SK,1987-01-19,187cm,87kg,33
561,김성현,SK,1987-03-09,172cm,68kg,33
562,박윤,Hero,1988-03-07,181cm,90kg,32
563,권영진,SK,1984-11-18,180cm,82kg,35
564,최윤석,한화,1987-03-28,175cm,74kg,33
565,조성우,SK,1988-02-08,188cm,90kg,32
566,안정광,KT,1989-11-29,184cm,82kg,30
567,박승욱,KT,1992-12-04,184cm,76kg,27
568,조동화,SK,1981-03-22,175cm,74kg,39
569,박재상,SK,1982-07-20,178cm,80kg,37
570,김강민,SK,1982-09-13,182cm,82kg,37
571,안치용,SK,1979-02-23,183cm,93kg,41
572,임훈,LG,1985-07-17,186cm,86kg,34
573,김재현,SK,1987-11-07,174cm,70kg,32
574,이명기,NC,1987-12-26,183cm,80kg,32
575,정진기,SK,1992-10-10,185cm,84kg,27
576,김도현,SK,1992-10-23,182cm,93kg,27
577,한동민,SK,1989-08-09,190cm,95kg,30
578,이석재,SK,1990-01-18,178cm,73kg,30
579,이경재,SK,1994-10-26,184cm,105kg,25
581,이창욱,SK,1984-08-28,181cm,80kg,35
582,김영롱,SK,1988-02-10,192cm,92kg,32
583,윤석주,SK,1990-04-27,181cm,72kg,30
584,최진호,SK,1992-11-14,185cm,83kg,27
585,성양민,SK,1992-03-13,173cm,80kg,28
586,유영하,SK,1993-10-10,180cm,85kg,26
587,김정빈,SK,1994-06-08,182cm,73kg,26
588,이윤재,SK,1989-01-02,179cm,89kg,31
589,위준호,SK,1988-08-03,185cm,95kg,31
590,김제성,SK,1990-06-10,178cm,89kg,30
591,박계현,SK,1992-03-08,181cm,75kg,28
592,정규창,SK,1989-06-29,178cm,83kg,30
593,박인성,SK,1990-03-23,178cm,74kg,30
594,최항,SK,1994-01-03,183cm,88kg,26
595,모상영,SK,1991-04-05,188cm,99kg,29
596,김원준,SK,1991-12-12,175cm,70kg,28
597,정효원,SK,1992-09-13,184cm,81kg,27
598,김기현,한화,1989-04-03,184cm,96kg,31
599,신창명,SK,1988-02-02,183cm,79kg,32
600,최윤철,SK,1989-10-24,188cm,81kg,30
601,이양우,SK,1993-05-08,185cm,81kg,27
602,최민재,SK,1994-01-08,180cm,84kg,26
603,류효용,SK,1994-07-16,180cm,95kg,25
604,고효준,롯데,1983-02-08,179cm,71kg,37
605,정우람,한화,1985-06-01,181cm,82kg,35
606,오수호,SK,1990-04-20,176cm,90kg,30
607,김태훈,SK,1990-05-19,176cm,86kg,30
608,이상백,SK,1987-03-10,178cm,89kg,33
609,문광은,LG,1987-11-09,180cm,85kg,32
610,박종훈,SK,1991-08-13,186cm,82kg,28
611,이재인,SK,1989-08-16,180cm,88kg,30
612,서진용,SK,1992-10-02,184cm,88kg,27
613,김민식,KIA,1989-06-28,180cm,80kg,30
614,김연훈,KT,1984-12-23,180cm,72kg,35
615,윤중환,SK,1990-09-07,180cm,80kg,29
616,김문홍,SK,1987-09-09,181cm,92kg,32
617,최정민,KIA,1989-06-02,177cm,75kg,31
618,김선우,LG,1977-09-04,184cm,87kg,42
619,정재훈,두산,1980-01-01,178cm,82kg,40
620,김태영,KIA,1980-04-07,181cm,82kg,40
621,이재우,한화,1980-02-09,183cm,82kg,40
622,이혜천,NC,1979-03-12,184cm,97kg,41
623,노경은,롯데,1984-03-11,186cm,85kg,36
624,이용찬*,두산,1989-01-02,185cm,85kg,31
625,서동환,삼성,1986-03-27,185cm,87kg,34
626,김창훈,두산,1985-10-03,183cm,82kg,34
627,임태훈,두산,1988-09-28,182cm,83kg,31
628,박민석,NC,1989-07-04,189cm,100kg,30
629,김강률,두산,1988-08-28,187cm,95kg,31
630,홍상삼,KIA,1990-02-13,188cm,85kg,30
631,안규영,두산,1988-04-12,185cm,85kg,32
632,김명성,두산,1988-04-08,179cm,88kg,32
633,정대현,Hero,1991-07-19,186cm,97kg,28
634,오성민,두산,1985-11-06,181cm,84kg,34
635,이정호,두산,1992-04-11,184cm,88kg,28
636,강동연,NC,1992-12-18,195cm,94kg,27
637,양현,Hero,1992-08-23,188cm,70kg,27
638,원용묵,두산,1986-06-25,187cm,96kg,33
639,오현택,롯데,1985-07-17,180cm,73kg,34
640,윤명준,두산,1989-06-18,178cm,78kg,31
641,변시원,KIA,1993-04-01,178cm,78kg,27
642,유희관,두산,1986-06-01,180cm,88kg,34
643,성영훈,두산,1990-06-24,180cm,82kg,29
644,니퍼트,KT,1981-05-06,203cm,103kg,39
646,양의지,NC,1987-06-05,179cm,85kg,33
647,최재훈,한화,1989-08-27,178cm,76kg,30
648,박세혁,두산,1990-01-09,181cm,86kg,30
649,김응민,삼성,1991-10-22,178cm,90kg,28
650,홍성흔,두산,1977-02-28,180cm,96kg,43
651,김동주,두산,1976-02-03,180cm,102kg,44
652,손시헌,NC,1980-10-19,172cm,73kg,39
653,최준석,NC,1983-02-15,185cm,115kg,37
654,고영민,두산,1984-02-08,182cm,73kg,36
655,윤석민,SK,1985-09-04,180cm,86kg,34
656,김재호,두산,1985-03-21,181cm,75kg,35
657,오재원,두산,1985-02-09,185cm,75kg,35
658,이원석,삼성,1986-10-21,182cm,82kg,33
659,김동길,두산,1987-03-01,179cm,77kg,33
660,김동한,롯데,1988-06-24,175cm,73kg,31
661,오재일,두산,1986-10-29,187cm,95kg,33
662,최주환,두산,1988-02-28,178cm,73kg,32
663,허경민,두산,1990-08-26,176cm,69kg,29
664,오장훈,두산,1984-05-19,186cm,100kg,36
665,임재철,롯데,1976-04-08,182cm,89kg,44
666,이종욱,NC,1980-06-18,176cm,77kg,40
667,김현수,LG,1988-01-12,188cm,100kg,32
668,정수빈,두산,1990-10-07,175cm,70kg,29
669,민병헌,롯데,1987-03-10,178cm,78kg,33
670,오현근,롯데,1985-09-12,183cm,75kg,34
671,박건우,두산,1990-09-08,184cm,80kg,29
672,백진우,두산,1988-11-24,182cm,83kg,31
673,국해성,두산,1989-10-08,180cm,94kg,30
674,김재환*,두산,1988-09-22,183cm,90kg,31
675,정혁진,LG,1994-07-18,191cm,95kg,25
676,함덕주,두산,1995-01-13,181cm,78kg,25
677,송주영,두산,1994-12-08,186cm,85kg,25
678,천영웅,두산,1994-03-23,178cm,76kg,26
679,장승현,두산,1994-03-07,184cm,86kg,26
680,김인태,두산,1994-07-03,178cm,78kg,25
681,이우성,KIA,1994-07-17,182cm,95kg,25
682,강화영,두산,1993-05-07,182cm,95kg,27
683,이동원,두산,1993-12-15,190cm,105kg,26
684,이용호,두산,1988-05-07,181cm,76kg,32
685,박민정,두산,1988-10-11,179cm,85kg,31
686,박종기,두산,1995-01-21,177cm,68kg,25
687,서두원,두산,1990-09-25,182cm,85kg,29
688,유창준,두산,1989-07-25,184cm,105kg,30
689,곽용섭,두산,1983-02-03,188cm,104kg,37
690,홍재용,두산,1989-07-26,180cm,73kg,30
691,김준호,두산,1991-12-09,185cm,78kg,28
692,신동규,두산,1989-10-09,181cm,83kg,30
693,정수환,두산,1989-05-02,192cm,108kg,31
694,최현진,두산,1992-09-24,184cm,93kg,27
695,이현승,두산,1983-10-11,179cm,85kg,36
696,이현호,한화,1992-07-14,185cm,80kg,27
697,진야곱*,두산,1989-04-11,183cm,81kg,31
698,장민익,두산,1991-02-05,207cm,99kg,29
699,조승수,두산,1990-06-09,191cm,73kg,30
700,이원재,두산,1988-12-01,187cm,81kg,31
701,윤도경,KT,1989-07-02,182cm,85kg,30
702,김강,두산,1988-10-16,188cm,89kg,31
703,류지혁,KIA,1994-01-13,181cm,75kg,26
704,유민상,KIA,1989-04-13,186cm,95kg,31
705,김진형,NC,1990-06-07,179cm,83kg,30
706,정진호,한화,1988-10-02,185cm,78kg,31
707,김사율,KT,1980-04-17,181cm,95kg,40
708,이용훈,롯데,1977-08-14,183cm,83kg,42
709,강영식,롯데,1981-06-17,189cm,98kg,39
710,정대현,롯데,1978-11-10,184cm,104kg,41
711,이정민,롯데,1979-03-02,183cm,83kg,41
712,이명우,롯데,1982-06-03,185cm,98kg,38
713,김성배,두산,1981-01-12,181cm,81kg,39
714,김승회,두산,1981-02-11,177cm,85kg,39
715,박건우,롯데,1985-04-06,183cm,87kg,35
716,최대성,두산,1985-05-17,182cm,80kg,35
717,허준혁,롯데,1985-12-15,180cm,87kg,34
718,조정훈,롯데,1985-05-03,188cm,95kg,35
719,이지모,롯데,1986-10-30,183cm,88kg,33
720,나승현,롯데,1987-04-06,178cm,90kg,33
721,송승준,롯데,1980-06-29,183cm,105kg,39
722,이상화,KT,1988-03-01,188cm,95kg,32
723,이웅한,롯데,1988-08-19,185cm,87kg,31
724,이재곤,롯데,1988-11-24,191cm,96kg,31
725,강승현,한화,1985-10-06,186cm,94kg,34
726,진명호,롯데,1989-03-20,191cm,91kg,31
727,고원준,두산,1990-06-23,182cm,83kg,29
728,박시영,롯데,1989-03-10,181cm,88kg,31
729,김수완,두산,1989-07-20,185cm,71kg,30
730,이정담,SK,1991-08-05,183cm,82kg,28
731,정태승,롯데,1988-03-17,180cm,83kg,32
732,김성호,롯데,1989-03-14,180cm,87kg,31
733,홍성민,NC,1989-07-15,189cm,73kg,30
734,박휘성,롯데,1992-06-01,182cm,80kg,28
735,유먼,한화,1979-10-11,195cm,100kg,40
736,용덕한,NC,1981-04-09,176cm,82kg,39
737,강민호,삼성,1985-08-18,186cm,100kg,34
738,변용선,롯데,1987-05-17,183cm,75kg,33
739,김사훈,롯데,1987-06-18,174cm,86kg,33
740,장성호,KT,1977-10-18,183cm,93kg,42
741,조성환,롯데,1976-12-23,180cm,83kg,43
742,박기혁,KT,1981-06-04,179cm,77kg,39
743,박준서,롯데,1981-12-11,180cm,80kg,38
744,박종윤,롯데,1982-04-11,188cm,92kg,38
745,문규현,롯데,1983-07-05,184cm,90kg,36
746,손용석,롯데,1987-04-13,175cm,84kg,33
747,황재균,KT,1987-07-28,183cm,90kg,32
748,황진수,롯데,1989-02-15,180cm,79kg,31
749,권영준,롯데,1986-06-04,176cm,80kg,34
750,양종민,LG,1990-10-09,181cm,83kg,29
751,정훈,롯데,1987-07-18,181cm,84kg,32
752,허일,롯데,1992-11-20,177cm,88kg,27
753,신본기,롯데,1989-03-21,178cm,82kg,31
754,이우민,롯데,1982-05-04,182cm,85kg,38
755,정보명,롯데,1980-08-23,177cm,82kg,39
756,이인구,롯데,1980-11-07,186cm,94kg,39
757,황동채,롯데,1983-07-04,180cm,73kg,36
758,김문호,한화,1987-06-22,183cm,93kg,32
759,손아섭,롯데,1988-03-18,174cm,88kg,32
760,김대우,롯데,1984-07-26,190cm,94kg,35
761,전준우,롯데,1986-02-25,184cm,91kg,34
762,송주은,롯데,1994-03-25,189cm,97kg,26
763,이종하,롯데,1994-07-19,183cm,92kg,25
764,김준태,롯데,1994-07-31,175cm,91kg,25
765,임종혁,롯데,1990-04-07,177cm,75kg,30
766,조홍석,롯데,1990-02-23,175cm,70kg,30
767,백동훈,두산,1990-09-16,184cm,98kg,29
768,고도현,롯데,1990-10-13,182cm,97kg,29
769,양동운,롯데,1991-05-15,186cm,95kg,29
770,장국헌,롯데,1991-10-05,182cm,71kg,28
771,김원중,롯데,1993-06-14,191cm,91kg,27
772,김광용,롯데,1989-10-15,178cm,91kg,30
773,구승민,롯데,1990-06-12,181cm,80kg,30
774,박진형,롯데,1994-06-10,179cm,70kg,26
775,장익호,롯데,1990-06-11,178cm,86kg,30
776,이동희,롯데,1991-01-31,176cm,86kg,29
777,백왕중,롯데,1992-08-06,178cm,70kg,27
778,김상호,롯데,1989-05-10,182cm,82kg,31
779,김종민,롯데,1994-08-27,177cm,64kg,25
780,박상신,롯데,1989-12-27,188cm,91kg,30
781,이명진,롯데,1990-03-07,182cm,101kg,30
782,정준혁,롯데,1994-04-01,181cm,91kg,26
783,장원준,두산,1985-07-31,184cm,85kg,34
784,배장호,롯데,1987-06-25,188cm,92kg,32
786,홍재영,롯데,1990-09-25,185cm,92kg,29
787,김근호,롯데,1991-05-30,189cm,90kg,29
788,이경우,롯데,1987-11-09,183cm,79kg,32
789,장성우,KT,1990-01-17,187cm,95kg,30
790,윤수강,NC,1990-02-22,181cm,96kg,30
791,김주현,롯데,1988-04-16,182cm,85kg,32
792,오태곤,KT,1991-11-18,184cm,80kg,28
793,김민하,한화,1989-02-25,183cm,88kg,31
794,송신영,한화,1977-03-01,180cm,88kg,43
795,이승호,SK,1981-09-09,176cm,86kg,38
796,황덕균,Hero,1983-04-28,185cm,84kg,37
797,문수호,NC,1983-06-04,185cm,85kg,37
798,김진성,NC,1985-03-07,186cm,92kg,35
799,원종현,NC,1987-07-31,182cm,83kg,32
800,한윤기,NC,1988-07-22,186cm,80kg,31
801,고창성,KT,1984-12-21,184cm,82kg,35
802,임창민,NC,1985-08-25,183cm,85kg,34
803,민태호,NC,1989-09-12,181cm,73kg,30
804,이재학,NC,1990-10-04,180cm,76kg,29
805,윤영삼,Hero,1992-07-14,181cm,87kg,27
806,이태양*,NC,1993-01-28,183cm,82kg,27
807,정진,NC,1979-08-06,174cm,72kg,40
808,이창호,LG,1987-03-09,183cm,83kg,33
809,노성호,삼성,1989-10-22,182cm,89kg,30
810,신재영,Hero,1989-11-18,185cm,91kg,30
811,이민호,NC,1993-08-11,182cm,80kg,26
812,이형범,두산,1994-02-27,180cm,86kg,26
813,해커,Hero,1983-03-26,185cm,104kg,37
814,찰리,NC,1985-10-25,190cm,93kg,34
815,아담,NC,1987-12-09,188cm,82kg,32
816,허준,NC,1981-07-20,182cm,97kg,38
817,김태군,NC,1989-12-30,182cm,82kg,30
818,이태원,NC,1986-03-17,177cm,76kg,34
819,김태우,NC,1989-07-23,180cm,80kg,30
820,이호준,NC,1976-02-08,187cm,98kg,44
821,김동건,NC,1982-03-07,178cm,88kg,38
822,이현곤,NC,1980-02-21,183cm,83kg,40
823,조평호,NC,1985-08-07,188cm,84kg,34
824,조영훈,NC,1982-11-12,185cm,90kg,37
825,차화준,삼성,1986-03-20,180cm,180kg,34
826,모창민,NC,1985-05-08,188cm,89kg,35
827,이명환,NC,1985-04-26,188cm,94kg,35
828,노진혁,NC,1989-07-15,181cm,72kg,30
829,박민우,NC,1993-02-06,183cm,70kg,27
830,강진성,NC,1993-10-19,180cm,81kg,26
831,김종호,NC,1984-05-31,183cm,82kg,36
832,박상혁,NC,1990-03-07,187cm,74kg,30
833,김종찬,NC,1987-07-22,188cm,102kg,32
834,마낙길,NC,1989-06-22,178cm,75kg,30
835,나성범,NC,1989-10-03,183cm,96kg,30
836,박헌욱,NC,1993-04-11,184cm,88kg,27
837,김성욱,NC,1993-05-01,181cm,75kg,27
838,강구성,LG,1993-06-09,180cm,70kg,27
839,옥스프링,KT,1977-05-13,183cm,90kg,43
840,송광민,한화,1983-06-24,183cm,81kg,36
841,이브랜드,한화,1983-10-29,186cm,105kg,36
842,올슨,두산,1983-10-18,185cm,93kg,36
843,송주호,한화,1988-07-11,181cm,80kg,31
844,손민한,NC,1975-01-02,179cm,85kg,45
845,마틴,삼성,1983-01-02,193cm,101kg,37
846,나바로,삼성,1987-10-31,183cm,93kg,32
847,볼스테드,두산,1986-09-23,207cm,104kg,33
848,칸투,두산,1982-01-30,192cm,92kg,38
849,리오단,LG,1986-05-25,193cm,90kg,34
850,조쉬벨,LG,1986-11-13,190cm,104kg,33
851,로티노,Hero,1980-04-07,183cm,86kg,40
853,울프,SK,1982-10-18,182cm,82kg,37
854,스캇,SK,1978-06-25,182cm,100kg,41
855,웨버,NC,1984-09-28,189cm,93kg,35
856,테임즈,NC,1986-11-10,183cm,95kg,33
857,어센시오,KIA,1983-05-30,189cm,82kg,37
858,홀튼,KIA,1979-08-12,193cm,107kg,40
859,브렛필,KIA,1984-09-09,193cm,102kg,35
860,앨버스,한화,1985-10-06,185cm,88kg,34
861,클레이,한화,1988-02-15,188cm,82kg,32
862,피에,한화,1985-02-08,188cm,86kg,35
863,강경학,한화,1992-08-11,181cm,72kg,27
864,김민수,삼성,1991-03-02,177cm,80kg,29
865,노태형,한화,1995-02-08,182cm,74kg,25
866,박준혁,한화,1991-01-09,188cm,91kg,29
867,여승철,두산,1984-05-29,184cm,87kg,36
868,서균,한화,1992-01-11,185cm,81kg,28
869,전용훈,두산,1995-03-20,182cm,75kg,25
870,최병욱,두산,1989-06-02,181cm,88kg,31
871,윤규진,한화,1984-07-28,185cm,90kg,35
872,한주성,두산,1995-02-26,184cm,90kg,25
873,문진제,두산,1991-08-01,183cm,79kg,28
874,이창열,한화,1991-09-06,175cm,70kg,28
875,이성곤,삼성,1992-03-25,186cm,93kg,28
